raw	safe
BCL10_TFH Cytoplasm	BCL10_TFH_Cytoplasm
BCL10_TFH Cytoplasm_1	BCL10_TFH_Cytoplasm_1
BCL10_TH1 Cytoplasm	BCL10_TH1_Cytoplasm
BCL10_TH1 Cytoplasm_1	BCL10_TH1_Cytoplasm_1
BCL10_TH17 Cytoplasm	BCL10_TH17_Cytoplasm
BCL10_TH17 Cytoplasm_1	BCL10_TH17_Cytoplasm_1
BCL10_TREG Cytoplasm	BCL10_TREG_Cytoplasm
BCL10_TREG Cytoplasm_1	BCL10_TREG_Cytoplasm_1
BCL2A1_gene_M1 Nucleus	BCL2A1_gene_M1_Nucleus
BCL2A1_gene_M2 Nucleus	BCL2A1_gene_M2_Nucleus
BCL2A1_gene_PDC Nucleus	BCL2A1_gene_PDC_Nucleus
BCL2A1_gene_TFH Nucleus	BCL2A1_gene_TFH_Nucleus
BCL2A1_gene_TH1 Nucleus	BCL2A1_gene_TH1_Nucleus
BCL2A1_gene_TH17 Nucleus	BCL2A1_gene_TH17_Nucleus
BCL2A1_gene_TREG Nucleus	BCL2A1_gene_TREG_Nucleus
BCL2A1_rna_BCELL Nucleus	BCL2A1_rna_BCELL_Nucleus
BCL2A1_rna_PLASMA Nucleus	BCL2A1_rna_PLASMA_Nucleus
BCL2L1_gene_M1 Nucleus	BCL2L1_gene_M1_Nucleus
BCL2L1_gene_M2 Nucleus	BCL2L1_gene_M2_Nucleus
BCL2L1_gene_PDC Nucleus	BCL2L1_gene_PDC_Nucleus
BCL2L1_gene_SGEC Nucleus	BCL2L1_gene_SGEC_Nucleus
BCL2L1_gene_TFH Nucleus	BCL2L1_gene_TFH_Nucleus
BCL2L1_gene_TH1 Nucleus	BCL2L1_gene_TH1_Nucleus
BCL2L1_gene_TH17 Nucleus	BCL2L1_gene_TH17_Nucleus
BCL2L1_gene_TREG Nucleus	BCL2L1_gene_TREG_Nucleus
BCL2L1_rna_BCELL Nucleus	BCL2L1_rna_BCELL_Nucleus
BCL2L1_rna_PLASMA Nucleus	BCL2L1_rna_PLASMA_Nucleus
BCL2_gene_M1 Nucleus	BCL2_gene_M1_Nucleus
BCL2_gene_M2 Nucleus	BCL2_gene_M2_Nucleus
BCL2_gene_PDC Nucleus	BCL2_gene_PDC_Nucleus
BCL2_gene_SGEC Nucleus	BCL2_gene_SGEC_Nucleus
BCL2_gene_TFH Nucleus	BCL2_gene_TFH_Nucleus
BCL2_gene_TH1 Nucleus	BCL2_gene_TH1_Nucleus
BCL2_gene_TH17 Nucleus	BCL2_gene_TH17_Nucleus
BCL2_gene_TREG Nucleus	BCL2_gene_TREG_Nucleus
BCL2_rna_BCELL Nucleus	BCL2_rna_BCELL_Nucleus
BCL2_rna_PLASMA Nucleus	BCL2_rna_PLASMA_Nucleus
BCR_complex_BCELL Cytoplasm	BCR_complex_BCELL_Cytoplasm
BCR_complex_PLASMA Cytoplasm	BCR_complex_PLASMA_Cytoplasm
BIRC2_BCELL Cytoplasm	BIRC2_BCELL_Cytoplasm
BIRC2_BCELL Cytoplasm_1	BIRC2_BCELL_Cytoplasm_1
BIRC2_PLASMA Cytoplasm	BIRC2_PLASMA_Cytoplasm
BIRC2_PLASMA Cytoplasm_1	BIRC2_PLASMA_Cytoplasm_1
BIRC2_gene_M1 Nucleus	BIRC2_gene_M1_Nucleus
BIRC2_gene_M2 Nucleus	BIRC2_gene_M2_Nucleus
BIRC2_gene_PDC Nucleus	BIRC2_gene_PDC_Nucleus
BIRC2_gene_SGEC Nucleus	BIRC2_gene_SGEC_Nucleus
BIRC2_gene_TFH Nucleus	BIRC2_gene_TFH_Nucleus
BIRC2_gene_TH1 Nucleus	BIRC2_gene_TH1_Nucleus
BIRC2_gene_TH17 Nucleus	BIRC2_gene_TH17_Nucleus
BIRC2_gene_TREG Nucleus	BIRC2_gene_TREG_Nucleus
BIRC2_rna_BCELL Nucleus	BIRC2_rna_BCELL_Nucleus
BIRC2_rna_PLASMA Nucleus	BIRC2_rna_PLASMA_Nucleus
BLNK	BLNK
BST2_BCELL Cytoplasm	BST2_BCELL_Cytoplasm
BST2_M1 Cytoplasm	BST2_M1_Cytoplasm
BST2_M2 Cytoplasm	BST2_M2_Cytoplasm
BST2_PDC Cytoplasm	BST2_PDC_Cytoplasm
BST2_PLASMA Cytoplasm	BST2_PLASMA_Cytoplasm
BST2_SGEC Cytoplasm	BST2_SGEC_Cytoplasm
BST2_TFH Cytoplasm	BST2_TFH_Cytoplasm
BST2_TH1 Cytoplasm	BST2_TH1_Cytoplasm
BST2_TH17 Cytoplasm	BST2_TH17_Cytoplasm
BST2_TREG Cytoplasm	BST2_TREG_Cytoplasm
BST2_rna_BCELL Nucleus	BST2_rna_BCELL_Nucleus
BST2_rna_M1 Nucleus	BST2_rna_M1_Nucleus
BST2_rna_M2 Nucleus	BST2_rna_M2_Nucleus
BST2_rna_PDC Nucleus	BST2_rna_PDC_Nucleus
BST2_rna_PLASMA Nucleus	BST2_rna_PLASMA_Nucleus
BST2_rna_SGEC Nucleus	BST2_rna_SGEC_Nucleus
BST2_rna_TFH Nucleus	BST2_rna_TFH_Nucleus
BST2_rna_TH1 Nucleus	BST2_rna_TH1_Nucleus
BST2_rna_TH17 Nucleus	BST2_rna_TH17_Nucleus
BST2_rna_TREG Nucleus	BST2_rna_TREG_Nucleus
BTK	BTK
B_Cell_Activation/Survival_phenotype	B_Cell_Activation_Survival_phenotype
C3AR1_M1 Cytoplasm	C3AR1_M1_Cytoplasm
C3AR1_M1 Cytoplasm_1	C3AR1_M1_Cytoplasm_1
C3AR1_M2 Cytoplasm	C3AR1_M2_Cytoplasm
C3AR1_M2 Cytoplasm_1	C3AR1_M2_Cytoplasm_1
C3AR1_PDC Cytoplasm	C3AR1_PDC_Cytoplasm
C3AR1_PDC Cytoplasm_1	C3AR1_PDC_Cytoplasm_1
C3a	C3a
C3a/CA3R1_complex_M1 Cytoplasm	C3a_CA3R1_complex_M1_Cytoplasm
C3a/CA3R1_complex_M2 Cytoplasm	C3a_CA3R1_complex_M2_Cytoplasm
C5AR1_M1 Cytoplasm	C5AR1_M1_Cytoplasm
C5AR1_M1 Cytoplasm_1	C5AR1_M1_Cytoplasm_1
C5AR1_M2 Cytoplasm	C5AR1_M2_Cytoplasm
C5AR1_M2 Cytoplasm_1	C5AR1_M2_Cytoplasm_1
