raw	safe
HLA-H_rna_SGEC Nucleus	HLA_H_rna_SGEC_Nucleus
HLA-H_rna_TFH Nucleus	HLA_H_rna_TFH_Nucleus
HLA-H_rna_TH1 Nucleus	HLA_H_rna_TH1_Nucleus
HLA-H_rna_TH17 Nucleus	HLA_H_rna_TH17_Nucleus
HLA-H_rna_TREG Nucleus	HLA_H_rna_TREG_Nucleus
HNRNPA2B1_BCELL Cytoplasm	HNRNPA2B1_BCELL_Cytoplasm
HNRNPA2B1_M1 Cytoplasm	HNRNPA2B1_M1_Cytoplasm
HNRNPA2B1_M2 Cytoplasm	HNRNPA2B1_M2_Cytoplasm
HNRNPA2B1_PDC Cytoplasm	HNRNPA2B1_PDC_Cytoplasm
HNRNPA2B1_PLASMA Cytoplasm	HNRNPA2B1_PLASMA_Cytoplasm
HNRNPA2B1_SGEC Cytoplasm	HNRNPA2B1_SGEC_Cytoplasm
HNRNPA2B1_TFH Cytoplasm	HNRNPA2B1_TFH_Cytoplasm
HNRNPA2B1_TH1 Cytoplasm	HNRNPA2B1_TH1_Cytoplasm
HNRNPA2B1_TH17 Cytoplasm	HNRNPA2B1_TH17_Cytoplasm
HNRNPA2B1_TREG Cytoplasm	HNRNPA2B1_TREG_Cytoplasm
HNRNPA2B1_gene_BCELL Nucleus	HNRNPA2B1_gene_BCELL_Nucleus
HNRNPA2B1_gene_M2 Nucleus	HNRNPA2B1_gene_M2_Nucleus
HNRNPA2B1_gene_PLASMA Nucleus	HNRNPA2B1_gene_PLASMA_Nucleus
HNRNPA2B1_gene_SGEC Nucleus	HNRNPA2B1_gene_SGEC_Nucleus
HNRNPA2B1_gene_TFH Nucleus	HNRNPA2B1_gene_TFH_Nucleus
HNRNPA2B1_gene_TH17 Nucleus	HNRNPA2B1_gene_TH17_Nucleus
HNRNPA2B1_gene_TREG Nucleus	HNRNPA2B1_gene_TREG_Nucleus
HNRNPA2B1_rna_M1 Nucleus	HNRNPA2B1_rna_M1_Nucleus
HNRNPA2B1_rna_PDC Nucleus	HNRNPA2B1_rna_PDC_Nucleus
HNRNPA2B1_rna_TH1 Nucleus	HNRNPA2B1_rna_TH1_Nucleus
ICAM1_gene_M1 Nucleus	ICAM1_gene_M1_Nucleus
ICAM1_gene_M2 Nucleus	ICAM1_gene_M2_Nucleus
ICAM1_gene_PDC Nucleus	ICAM1_gene_PDC_Nucleus
ICAM1_gene_SGEC Nucleus	ICAM1_gene_SGEC_Nucleus
ICAM1_gene_TFH Nucleus	ICAM1_gene_TFH_Nucleus
ICAM1_gene_TH1 Nucleus	ICAM1_gene_TH1_Nucleus
ICAM1_gene_TH17 Nucleus	ICAM1_gene_TH17_Nucleus
ICAM1_gene_TREG Nucleus	ICAM1_gene_TREG_Nucleus
ICAM1_rna_BCELL Nucleus	ICAM1_rna_BCELL_Nucleus
ICAM1_rna_M1 Nucleus	ICAM1_rna_M1_Nucleus
ICAM1_rna_M2 Nucleus	ICAM1_rna_M2_Nucleus
ICAM1_rna_PDC Nucleus	ICAM1_rna_PDC_Nucleus
ICAM1_rna_PLASMA Nucleus	ICAM1_rna_PLASMA_Nucleus
ICAM1_rna_SGEC Nucleus	ICAM1_rna_SGEC_Nucleus
ICAM1_rna_TFH Nucleus	ICAM1_rna_TFH_Nucleus
ICAM1_rna_TH1 Nucleus	ICAM1_rna_TH1_Nucleus
ICAM1_rna_TH17 Nucleus	ICAM1_rna_TH17_Nucleus
ICAM1_rna_TREG Nucleus	ICAM1_rna_TREG_Nucleus
ICOSLG	ICOSLG
ICOSLG/ICOS_complex	ICOSLG_ICOS_complex
ICOSLG_ICOS_complex_Extracellular	ICOSLG_ICOS_complex_Extracellular
ICOSLG_ICOS_complex_Extracellular_1	ICOSLG_ICOS_complex_Extracellular_1
ICOSLG_ICOS_complex_Extracellular_2	ICOSLG_ICOS_complex_Extracellular_2
ICOS_TFH Cytoplasm	ICOS_TFH_Cytoplasm
ICOS_TFH Cytoplasm_1	ICOS_TFH_Cytoplasm_1
IFI27_BCELL Cytoplasm	IFI27_BCELL_Cytoplasm
IFI27_M1 Cytoplasm	IFI27_M1_Cytoplasm
IFI27_M2 Cytoplasm	IFI27_M2_Cytoplasm
IFI27_PDC Cytoplasm	IFI27_PDC_Cytoplasm
IFI27_PLASMA Cytoplasm	IFI27_PLASMA_Cytoplasm
IFI27_SGEC Cytoplasm	IFI27_SGEC_Cytoplasm
IFI27_TFH Cytoplasm	IFI27_TFH_Cytoplasm
IFI27_TH1 Cytoplasm	IFI27_TH1_Cytoplasm
IFI27_TH17 Cytoplasm	IFI27_TH17_Cytoplasm
IFI27_TREG Cytoplasm	IFI27_TREG_Cytoplasm
IFI27_rna_BCELL Nucleus	IFI27_rna_BCELL_Nucleus
IFI27_rna_M1 Nucleus	IFI27_rna_M1_Nucleus
IFI27_rna_M2 Nucleus	IFI27_rna_M2_Nucleus
IFI27_rna_PDC Nucleus	IFI27_rna_PDC_Nucleus
IFI27_rna_PLASMA Nucleus	IFI27_rna_PLASMA_Nucleus
IFI27_rna_SGEC Nucleus	IFI27_rna_SGEC_Nucleus
IFI27_rna_TFH Nucleus	IFI27_rna_TFH_Nucleus
IFI27_rna_TH1 Nucleus	IFI27_rna_TH1_Nucleus
IFI27_rna_TH17 Nucleus	IFI27_rna_TH17_Nucleus
IFI27_rna_TREG Nucleus	IFI27_rna_TREG_Nucleus
IFI30_BCELL Cytoplasm	IFI30_BCELL_Cytoplasm
IFI30_M1 Cytoplasm	IFI30_M1_Cytoplasm
IFI30_M2 Cytoplasm	IFI30_M2_Cytoplasm
IFI30_PDC Cytoplasm	IFI30_PDC_Cytoplasm
IFI30_PLASMA Cytoplasm	IFI30_PLASMA_Cytoplasm
IFI30_SGEC Cytoplasm	IFI30_SGEC_Cytoplasm
IFI30_TFH Cytoplasm	IFI30_TFH_Cytoplasm
IFI30_TH1 Cytoplasm	IFI30_TH1_Cytoplasm
IFI30_TH17 Cytoplasm	IFI30_TH17_Cytoplasm
IFI30_TREG Cytoplasm	IFI30_TREG_Cytoplasm
IFI30_rna_BCELL Nucleus	IFI30_rna_BCELL_Nucleus
IFI30_rna_M1 Nucleus	IFI30_rna_M1_Nucleus
IFI30_rna_M2 Nucleus	IFI30_rna_M2_Nucleus
IFI30_rna_PDC Nucleus	IFI30_rna_PDC_Nucleus
IFI30_rna_PLASMA Nucleus	IFI30_rna_PLASMA_Nucleus
IFI30_rna_SGEC Nucleus	IFI30_rna_SGEC_Nucleus
IFI30_rna_TFH Nucleus	IFI30_rna_TFH_Nucleus
IFI30_rna_TH1 Nucleus	IFI30_rna_TH1_Nucleus
IFI30_rna_TH17 Nucleus	IFI30_rna_TH17_Nucleus
IFI30_rna_TREG Nucleus	IFI30_rna_TREG_Nucleus
IFI35_BCELL Cytoplasm	IFI35_BCELL_Cytoplasm
IFI35_M1 Cytoplasm	IFI35_M1_Cytoplasm
IFI35_M2 Cytoplasm	IFI35_M2_Cytoplasm
IFI35_PDC Cytoplasm	IFI35_PDC_Cytoplasm
IFI35_PLASMA Cytoplasm	IFI35_PLASMA_Cytoplasm
IFI35_SGEC Cytoplasm	IFI35_SGEC_Cytoplasm
IFI35_TFH Cytoplasm	IFI35_TFH_Cytoplasm
IFI35_TH1 Cytoplasm	IFI35_TH1_Cytoplasm
IFI35_TH17 Cytoplasm	IFI35_TH17_Cytoplasm
IFI35_TREG Cytoplasm	IFI35_TREG_Cytoplasm
IFI35_rna_BCELL Nucleus	IFI35_rna_BCELL_Nucleus
IFI35_rna_M1 Nucleus	IFI35_rna_M1_Nucleus
IFI35_rna_M2 Nucleus	IFI35_rna_M2_Nucleus
IFI35_rna_PDC Nucleus	IFI35_rna_PDC_Nucleus
IFI35_rna_PLASMA Nucleus	IFI35_rna_PLASMA_Nucleus
IFI35_rna_SGEC Nucleus	IFI35_rna_SGEC_Nucleus
IFI35_rna_TFH Nucleus	IFI35_rna_TFH_Nucleus
IFI35_rna_TH1 Nucleus	IFI35_rna_TH1_Nucleus
IFI35_rna_TH17 Nucleus	IFI35_rna_TH17_Nucleus
IFI35_rna_TREG Nucleus	IFI35_rna_TREG_Nucleus
IFI6_BCELL Cytoplasm	IFI6_BCELL_Cytoplasm
IFI6_M1 Cytoplasm	IFI6_M1_Cytoplasm
IFI6_M2 Cytoplasm	IFI6_M2_Cytoplasm
IFI6_PDC Cytoplasm	IFI6_PDC_Cytoplasm
IFI6_PLASMA Cytoplasm	IFI6_PLASMA_Cytoplasm
IFI6_SGEC Cytoplasm	IFI6_SGEC_Cytoplasm
IFI6_TFH Cytoplasm	IFI6_TFH_Cytoplasm
IFI6_TH1 Cytoplasm	IFI6_TH1_Cytoplasm
IFI6_TH17 Cytoplasm	IFI6_TH17_Cytoplasm
IFI6_TREG Cytoplasm	IFI6_TREG_Cytoplasm
IFI6_rna_BCELL Nucleus	IFI6_rna_BCELL_Nucleus
IFI6_rna_M1 Nucleus	IFI6_rna_M1_Nucleus
IFI6_rna_M2 Nucleus	IFI6_rna_M2_Nucleus
IFI6_rna_PDC Nucleus	IFI6_rna_PDC_Nucleus
IFI6_rna_PLASMA Nucleus	IFI6_rna_PLASMA_Nucleus
IFI6_rna_SGEC Nucleus	IFI6_rna_SGEC_Nucleus
IFI6_rna_TFH Nucleus	IFI6_rna_TFH_Nucleus
IFI6_rna_TH1 Nucleus	IFI6_rna_TH1_Nucleus
IFI6_rna_TH17 Nucleus	IFI6_rna_TH17_Nucleus
IFI6_rna_TREG Nucleus	IFI6_rna_TREG_Nucleus
IFIH1_BCELL Cytoplasm	IFIH1_BCELL_Cytoplasm
IFIH1_M1 Cytoplasm	IFIH1_M1_Cytoplasm
IFIH1_M2 Cytoplasm	IFIH1_M2_Cytoplasm
IFIH1_PDC Cytoplasm	IFIH1_PDC_Cytoplasm
IFIH1_PLASMA Cytoplasm	IFIH1_PLASMA_Cytoplasm
IFIH1_SGEC Cytoplasm	IFIH1_SGEC_Cytoplasm
IFIH1_TFH Cytoplasm	IFIH1_TFH_Cytoplasm
IFIH1_TH1 Cytoplasm	IFIH1_TH1_Cytoplasm
IFIH1_TH17 Cytoplasm	IFIH1_TH17_Cytoplasm
IFIH1_TREG Cytoplasm	IFIH1_TREG_Cytoplasm
IFIT1_BCELL Cytoplasm	IFIT1_BCELL_Cytoplasm
IFIT1_M1 Cytoplasm	IFIT1_M1_Cytoplasm
IFIT1_M2 Cytoplasm	IFIT1_M2_Cytoplasm
IFIT1_PDC Cytoplasm	IFIT1_PDC_Cytoplasm
IFIT1_PLASMA Cytoplasm	IFIT1_PLASMA_Cytoplasm
IFIT1_SGEC Cytoplasm	IFIT1_SGEC_Cytoplasm
IFIT1_TFH Cytoplasm	IFIT1_TFH_Cytoplasm
IFIT1_TH1 Cytoplasm	IFIT1_TH1_Cytoplasm
IFIT1_TH17 Cytoplasm	IFIT1_TH17_Cytoplasm
IFIT1_TREG Cytoplasm	IFIT1_TREG_Cytoplasm
IFIT1_rna_BCELL Nucleus	IFIT1_rna_BCELL_Nucleus
IFIT1_rna_M1 Nucleus	IFIT1_rna_M1_Nucleus
IFIT1_rna_M2 Nucleus	IFIT1_rna_M2_Nucleus
IFIT1_rna_PDC Nucleus	IFIT1_rna_PDC_Nucleus
IFIT1_rna_PLASMA Nucleus	IFIT1_rna_PLASMA_Nucleus
IFIT1_rna_SGEC Nucleus	IFIT1_rna_SGEC_Nucleus
IFIT1_rna_TFH Nucleus	IFIT1_rna_TFH_Nucleus
IFIT1_rna_TH1 Nucleus	IFIT1_rna_TH1_Nucleus
IFIT1_rna_TH17 Nucleus	IFIT1_rna_TH17_Nucleus
IFIT1_rna_TREG Nucleus	IFIT1_rna_TREG_Nucleus
IFIT2_BCELL Cytoplasm	IFIT2_BCELL_Cytoplasm
IFIT2_M1 Cytoplasm	IFIT2_M1_Cytoplasm
IFIT2_M2 Cytoplasm	IFIT2_M2_Cytoplasm
IFIT2_PDC Cytoplasm	IFIT2_PDC_Cytoplasm
IFIT2_PLASMA Cytoplasm	IFIT2_PLASMA_Cytoplasm
IFIT2_SGEC Cytoplasm	IFIT2_SGEC_Cytoplasm
IFIT2_TFH Cytoplasm	IFIT2_TFH_Cytoplasm
IFIT2_TH1 Cytoplasm	IFIT2_TH1_Cytoplasm
IFIT2_TH17 Cytoplasm	IFIT2_TH17_Cytoplasm
IFIT2_TREG Cytoplasm	IFIT2_TREG_Cytoplasm
IFIT2_rna_BCELL Nucleus	IFIT2_rna_BCELL_Nucleus
IFIT2_rna_M1 Nucleus	IFIT2_rna_M1_Nucleus
IFIT2_rna_M2 Nucleus	IFIT2_rna_M2_Nucleus
IFIT2_rna_PDC Nucleus	IFIT2_rna_PDC_Nucleus
IFIT2_rna_PLASMA Nucleus	IFIT2_rna_PLASMA_Nucleus
IFIT2_rna_SGEC Nucleus	IFIT2_rna_SGEC_Nucleus
IFIT2_rna_TFH Nucleus	IFIT2_rna_TFH_Nucleus
IFIT2_rna_TH1 Nucleus	IFIT2_rna_TH1_Nucleus
IFIT2_rna_TH17 Nucleus	IFIT2_rna_TH17_Nucleus
IFIT2_rna_TREG Nucleus	IFIT2_rna_TREG_Nucleus
IFIT3_BCELL Cytoplasm	IFIT3_BCELL_Cytoplasm
IFIT3_M1 Cytoplasm	IFIT3_M1_Cytoplasm
IFIT3_M2 Cytoplasm	IFIT3_M2_Cytoplasm
IFIT3_PDC Cytoplasm	IFIT3_PDC_Cytoplasm
IFIT3_PLASMA Cytoplasm	IFIT3_PLASMA_Cytoplasm
IFIT3_SGEC Cytoplasm	IFIT3_SGEC_Cytoplasm
IFIT3_TFH Cytoplasm	IFIT3_TFH_Cytoplasm
IFIT3_TH1 Cytoplasm	IFIT3_TH1_Cytoplasm
IFIT3_TH17 Cytoplasm	IFIT3_TH17_Cytoplasm
IFIT3_TREG Cytoplasm	IFIT3_TREG_Cytoplasm
IFIT3_rna_BCELL Nucleus	IFIT3_rna_BCELL_Nucleus
IFIT3_rna_M1 Nucleus	IFIT3_rna_M1_Nucleus
IFIT3_rna_M2 Nucleus	IFIT3_rna_M2_Nucleus
IFIT3_rna_PDC Nucleus	IFIT3_rna_PDC_Nucleus
IFIT3_rna_PLASMA Nucleus	IFIT3_rna_PLASMA_Nucleus
IFIT3_rna_SGEC Nucleus	IFIT3_rna_SGEC_Nucleus
IFIT3_rna_TFH Nucleus	IFIT3_rna_TFH_Nucleus
IFIT3_rna_TH1 Nucleus	IFIT3_rna_TH1_Nucleus
IFIT3_rna_TH17 Nucleus	IFIT3_rna_TH17_Nucleus
IFIT3_rna_TREG Nucleus	IFIT3_rna_TREG_Nucleus
IFIT5_BCELL Cytoplasm	IFIT5_BCELL_Cytoplasm
IFIT5_M1 Cytoplasm	IFIT5_M1_Cytoplasm
IFIT5_M2 Cytoplasm	IFIT5_M2_Cytoplasm
IFIT5_PDC Cytoplasm	IFIT5_PDC_Cytoplasm
IFIT5_PLASMA Cytoplasm	IFIT5_PLASMA_Cytoplasm
IFIT5_SGEC Cytoplasm	IFIT5_SGEC_Cytoplasm
IFIT5_TFH Cytoplasm	IFIT5_TFH_Cytoplasm
IFIT5_TH1 Cytoplasm	IFIT5_TH1_Cytoplasm
IFIT5_TH17 Cytoplasm	IFIT5_TH17_Cytoplasm
IFIT5_TREG Cytoplasm	IFIT5_TREG_Cytoplasm
IFIT5_rna_BCELL Nucleus	IFIT5_rna_BCELL_Nucleus
IFIT5_rna_M1 Nucleus	IFIT5_rna_M1_Nucleus
IFIT5_rna_M2 Nucleus	IFIT5_rna_M2_Nucleus
IFIT5_rna_PDC Nucleus	IFIT5_rna_PDC_Nucleus
IFIT5_rna_PLASMA Nucleus	IFIT5_rna_PLASMA_Nucleus
IFIT5_rna_SGEC Nucleus	IFIT5_rna_SGEC_Nucleus
IFIT5_rna_TFH Nucleus	IFIT5_rna_TFH_Nucleus
IFIT5_rna_TH1 Nucleus	IFIT5_rna_TH1_Nucleus
IFIT5_rna_TH17 Nucleus	IFIT5_rna_TH17_Nucleus
IFIT5_rna_TREG Nucleus	IFIT5_rna_TREG_Nucleus
IFITM1_BCELL Cytoplasm	IFITM1_BCELL_Cytoplasm
IFITM1_M1 Cytoplasm	IFITM1_M1_Cytoplasm
IFITM1_M2 Cytoplasm	IFITM1_M2_Cytoplasm
IFITM1_PDC Cytoplasm	IFITM1_PDC_Cytoplasm
IFITM1_PLASMA Cytoplasm	IFITM1_PLASMA_Cytoplasm
IFITM1_SGEC Cytoplasm	IFITM1_SGEC_Cytoplasm
IFITM1_TFH Cytoplasm	IFITM1_TFH_Cytoplasm
IFITM1_TH1 Cytoplasm	IFITM1_TH1_Cytoplasm
IFITM1_TH17 Cytoplasm	IFITM1_TH17_Cytoplasm
IFITM1_TREG Cytoplasm	IFITM1_TREG_Cytoplasm
IFITM1_rna_BCELL Nucleus	IFITM1_rna_BCELL_Nucleus
IFITM1_rna_M1 Nucleus	IFITM1_rna_M1_Nucleus
IFITM1_rna_M2 Nucleus	IFITM1_rna_M2_Nucleus
IFITM1_rna_PDC Nucleus	IFITM1_rna_PDC_Nucleus
IFITM1_rna_PLASMA Nucleus	IFITM1_rna_PLASMA_Nucleus
IFITM1_rna_SGEC Nucleus	IFITM1_rna_SGEC_Nucleus
IFITM1_rna_TFH Nucleus	IFITM1_rna_TFH_Nucleus
IFITM1_rna_TH1 Nucleus	IFITM1_rna_TH1_Nucleus
IFITM1_rna_TH17 Nucleus	IFITM1_rna_TH17_Nucleus
IFITM1_rna_TREG Nucleus	IFITM1_rna_TREG_Nucleus
IFITM2_BCELL Cytoplasm	IFITM2_BCELL_Cytoplasm
IFITM2_M1 Cytoplasm	IFITM2_M1_Cytoplasm
IFITM2_M2 Cytoplasm	IFITM2_M2_Cytoplasm
IFITM2_PDC Cytoplasm	IFITM2_PDC_Cytoplasm
IFITM2_PLASMA Cytoplasm	IFITM2_PLASMA_Cytoplasm
IFITM2_SGEC Cytoplasm	IFITM2_SGEC_Cytoplasm
IFITM2_TFH Cytoplasm	IFITM2_TFH_Cytoplasm
IFITM2_TH1 Cytoplasm	IFITM2_TH1_Cytoplasm
IFITM2_TH17 Cytoplasm	IFITM2_TH17_Cytoplasm
IFITM2_TREG Cytoplasm	IFITM2_TREG_Cytoplasm
IFITM2_rna_BCELL Nucleus	IFITM2_rna_BCELL_Nucleus
IFITM2_rna_M1 Nucleus	IFITM2_rna_M1_Nucleus
IFITM2_rna_M2 Nucleus	IFITM2_rna_M2_Nucleus
IFITM2_rna_PDC Nucleus	IFITM2_rna_PDC_Nucleus
IFITM2_rna_PLASMA Nucleus	IFITM2_rna_PLASMA_Nucleus
IFITM2_rna_SGEC Nucleus	IFITM2_rna_SGEC_Nucleus
IFITM2_rna_TFH Nucleus	IFITM2_rna_TFH_Nucleus
IFITM2_rna_TH1 Nucleus	IFITM2_rna_TH1_Nucleus
IFITM2_rna_TH17 Nucleus	IFITM2_rna_TH17_Nucleus
IFITM2_rna_TREG Nucleus	IFITM2_rna_TREG_Nucleus
IFITM3_BCELL Cytoplasm	IFITM3_BCELL_Cytoplasm
IFITM3_M1 Cytoplasm	IFITM3_M1_Cytoplasm
IFITM3_M2 Cytoplasm	IFITM3_M2_Cytoplasm
IFITM3_PDC Cytoplasm	IFITM3_PDC_Cytoplasm
IFITM3_PLASMA Cytoplasm	IFITM3_PLASMA_Cytoplasm
IFITM3_SGEC Cytoplasm	IFITM3_SGEC_Cytoplasm
IFITM3_TFH Cytoplasm	IFITM3_TFH_Cytoplasm
IFITM3_TH1 Cytoplasm	IFITM3_TH1_Cytoplasm
IFITM3_TH17 Cytoplasm	IFITM3_TH17_Cytoplasm
IFITM3_TREG Cytoplasm	IFITM3_TREG_Cytoplasm
IFITM3_rna_BCELL Nucleus	IFITM3_rna_BCELL_Nucleus
IFITM3_rna_M1 Nucleus	IFITM3_rna_M1_Nucleus
IFITM3_rna_M2 Nucleus	IFITM3_rna_M2_Nucleus
IFITM3_rna_PDC Nucleus	IFITM3_rna_PDC_Nucleus
IFITM3_rna_PLASMA Nucleus	IFITM3_rna_PLASMA_Nucleus
IFITM3_rna_SGEC Nucleus	IFITM3_rna_SGEC_Nucleus
IFITM3_rna_TFH Nucleus	IFITM3_rna_TFH_Nucleus
IFITM3_rna_TH1 Nucleus	IFITM3_rna_TH1_Nucleus
IFITM3_rna_TH17 Nucleus	IFITM3_rna_TH17_Nucleus
IFITM3_rna_TREG Nucleus	IFITM3_rna_TREG_Nucleus
IFNA/IFNAR_complex_BCELL Cytoplasm	IFNA_IFNAR_complex_BCELL_Cytoplasm
IFNA/IFNAR_complex_M1 Cytoplasm	IFNA_IFNAR_complex_M1_Cytoplasm
IFNA/IFNAR_complex_M2 Cytoplasm	IFNA_IFNAR_complex_M2_Cytoplasm
IFNA/IFNAR_complex_PDC Cytoplasm	IFNA_IFNAR_complex_PDC_Cytoplasm
IFNA/IFNAR_complex_PLASMA Cytoplasm	IFNA_IFNAR_complex_PLASMA_Cytoplasm
IFNA/IFNAR_complex_SGEC Cytoplasm	IFNA_IFNAR_complex_SGEC_Cytoplasm
IFNA/IFNAR_complex_TFH Cytoplasm	IFNA_IFNAR_complex_TFH_Cytoplasm
IFNA/IFNAR_complex_TH1 Cytoplasm	IFNA_IFNAR_complex_TH1_Cytoplasm
IFNA/IFNAR_complex_TH17 Cytoplasm	IFNA_IFNAR_complex_TH17_Cytoplasm
IFNA/IFNAR_complex_TREG Cytoplasm	IFNA_IFNAR_complex_TREG_Cytoplasm
IFNAR1_BCELL Cytoplasm	IFNAR1_BCELL_Cytoplasm
IFNAR1_BCELL Cytoplasm_1	IFNAR1_BCELL_Cytoplasm_1
IFNAR1_BCELL Cytoplasm_2	IFNAR1_BCELL_Cytoplasm_2
IFNAR1_M1 Cytoplasm	IFNAR1_M1_Cytoplasm
IFNAR1_M1 Cytoplasm_1	IFNAR1_M1_Cytoplasm_1
IFNAR1_M1 Cytoplasm_2	IFNAR1_M1_Cytoplasm_2
IFNAR1_M2 Cytoplasm	IFNAR1_M2_Cytoplasm
IFNAR1_M2 Cytoplasm_1	IFNAR1_M2_Cytoplasm_1
IFNAR1_M2 Cytoplasm_2	IFNAR1_M2_Cytoplasm_2
IFNAR1_PDC Cytoplasm	IFNAR1_PDC_Cytoplasm
IFNAR1_PDC Cytoplasm_1	IFNAR1_PDC_Cytoplasm_1
IFNAR1_PDC Cytoplasm_2	IFNAR1_PDC_Cytoplasm_2
IFNAR1_PLASMA Cytoplasm	IFNAR1_PLASMA_Cytoplasm
IFNAR1_PLASMA Cytoplasm_1	IFNAR1_PLASMA_Cytoplasm_1
IFNAR1_PLASMA Cytoplasm_2	IFNAR1_PLASMA_Cytoplasm_2
IFNAR1_SGEC Cytoplasm	IFNAR1_SGEC_Cytoplasm
IFNAR1_SGEC Cytoplasm_1	IFNAR1_SGEC_Cytoplasm_1
IFNAR1_SGEC Cytoplasm_2	IFNAR1_SGEC_Cytoplasm_2
IFNAR1_TFH Cytoplasm	IFNAR1_TFH_Cytoplasm
IFNAR1_TFH Cytoplasm_1	IFNAR1_TFH_Cytoplasm_1
IFNAR1_TFH Cytoplasm_2	IFNAR1_TFH_Cytoplasm_2
IFNAR1_TH1 Cytoplasm	IFNAR1_TH1_Cytoplasm
IFNAR1_TH1 Cytoplasm_1	IFNAR1_TH1_Cytoplasm_1
IFNAR1_TH1 Cytoplasm_2	IFNAR1_TH1_Cytoplasm_2
IFNAR1_TH17 Cytoplasm	IFNAR1_TH17_Cytoplasm
IFNAR1_TH17 Cytoplasm_1	IFNAR1_TH17_Cytoplasm_1
IFNAR1_TH17 Cytoplasm_2	IFNAR1_TH17_Cytoplasm_2
IFNAR1_TREG Cytoplasm	IFNAR1_TREG_Cytoplasm
IFNAR1_TREG Cytoplasm_1	IFNAR1_TREG_Cytoplasm_1
IFNAR1_TREG Cytoplasm_2	IFNAR1_TREG_Cytoplasm_2
IFNAR2_BCELL Cytoplasm	IFNAR2_BCELL_Cytoplasm
IFNAR2_BCELL Cytoplasm_1	IFNAR2_BCELL_Cytoplasm_1
IFNAR2_BCELL Cytoplasm_2	IFNAR2_BCELL_Cytoplasm_2
IFNAR2_M1 Cytoplasm	IFNAR2_M1_Cytoplasm
IFNAR2_M1 Cytoplasm_1	IFNAR2_M1_Cytoplasm_1
IFNAR2_M1 Cytoplasm_2	IFNAR2_M1_Cytoplasm_2
IFNAR2_M2 Cytoplasm	IFNAR2_M2_Cytoplasm
IFNAR2_M2 Cytoplasm_1	IFNAR2_M2_Cytoplasm_1
IFNAR2_M2 Cytoplasm_2	IFNAR2_M2_Cytoplasm_2
IFNAR2_PDC Cytoplasm	IFNAR2_PDC_Cytoplasm
IFNAR2_PDC Cytoplasm_1	IFNAR2_PDC_Cytoplasm_1
IFNAR2_PDC Cytoplasm_2	IFNAR2_PDC_Cytoplasm_2
IFNAR2_PLASMA Cytoplasm	IFNAR2_PLASMA_Cytoplasm
IFNAR2_PLASMA Cytoplasm_1	IFNAR2_PLASMA_Cytoplasm_1
IFNAR2_PLASMA Cytoplasm_2	IFNAR2_PLASMA_Cytoplasm_2
IFNAR2_SGEC Cytoplasm	IFNAR2_SGEC_Cytoplasm
IFNAR2_SGEC Cytoplasm_1	IFNAR2_SGEC_Cytoplasm_1
IFNAR2_SGEC Cytoplasm_2	IFNAR2_SGEC_Cytoplasm_2
IFNAR2_TFH Cytoplasm	IFNAR2_TFH_Cytoplasm
IFNAR2_TFH Cytoplasm_1	IFNAR2_TFH_Cytoplasm_1
IFNAR2_TFH Cytoplasm_2	IFNAR2_TFH_Cytoplasm_2
IFNAR2_TH1 Cytoplasm	IFNAR2_TH1_Cytoplasm
IFNAR2_TH1 Cytoplasm_1	IFNAR2_TH1_Cytoplasm_1
IFNAR2_TH1 Cytoplasm_2	IFNAR2_TH1_Cytoplasm_2
IFNAR2_TH17 Cytoplasm	IFNAR2_TH17_Cytoplasm
IFNAR2_TH17 Cytoplasm_1	IFNAR2_TH17_Cytoplasm_1
IFNAR2_TH17 Cytoplasm_2	IFNAR2_TH17_Cytoplasm_2
IFNAR2_TREG Cytoplasm	IFNAR2_TREG_Cytoplasm
IFNAR2_TREG Cytoplasm_1	IFNAR2_TREG_Cytoplasm_1
IFNAR2_TREG Cytoplasm_2	IFNAR2_TREG_Cytoplasm_2
IFNAR_complex_BCELL Cytoplasm	IFNAR_complex_BCELL_Cytoplasm
IFNAR_complex_M1 Cytoplasm	IFNAR_complex_M1_Cytoplasm
IFNAR_complex_M2 Cytoplasm	IFNAR_complex_M2_Cytoplasm
IFNAR_complex_PDC Cytoplasm	IFNAR_complex_PDC_Cytoplasm
IFNAR_complex_PLASMA Cytoplasm	IFNAR_complex_PLASMA_Cytoplasm
IFNAR_complex_SGEC Cytoplasm	IFNAR_complex_SGEC_Cytoplasm
IFNAR_complex_TFH Cytoplasm	IFNAR_complex_TFH_Cytoplasm
IFNAR_complex_TH1 Cytoplasm	IFNAR_complex_TH1_Cytoplasm
IFNAR_complex_TH17 Cytoplasm	IFNAR_complex_TH17_Cytoplasm
IFNAR_complex_TREG Cytoplasm	IFNAR_complex_TREG_Cytoplasm
IFNA_Extracellular	IFNA_Extracellular
IFNA_Secreted	IFNA_Secreted
IFNA_gene	IFNA_gene
IFNB/IFNAR_complex_BCELL Cytoplasm	IFNB_IFNAR_complex_BCELL_Cytoplasm
IFNB/IFNAR_complex_M1 Cytoplasm	IFNB_IFNAR_complex_M1_Cytoplasm
IFNB/IFNAR_complex_M2 Cytoplasm	IFNB_IFNAR_complex_M2_Cytoplasm
IFNB/IFNAR_complex_PDC Cytoplasm	IFNB_IFNAR_complex_PDC_Cytoplasm
IFNB/IFNAR_complex_PLASMA Cytoplasm	IFNB_IFNAR_complex_PLASMA_Cytoplasm
