node_id	node_name	node_type	compartment_id	celltype	confidence	rule	evidence	plausibility_score	source
20526	dsRNA	Simple molecule	20513	TFH	LOW	R5	neighbors_vote={'M1': 2, 'PDC': 2, 'M2': 2, 'TH1': 2, 'TH17': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20526	dsRNA	Simple molecule	20513	TH1	LOW	R5	neighbors_vote={'M1': 2, 'PDC': 2, 'M2': 2, 'TH1': 2, 'TH17': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20526	dsRNA	Simple molecule	20513	TH17	LOW	R5	neighbors_vote={'M1': 2, 'PDC': 2, 'M2': 2, 'TH1': 2, 'TH17': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20526	dsRNA	Simple molecule	20513	TREG	LOW	R5	neighbors_vote={'M1': 2, 'PDC': 2, 'M2': 2, 'TH1': 2, 'TH17': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20527	PPP2R1A	Protein	20513	BCELL	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	PP2A scaffold
20527	PPP2R1A	Protein	20513	M1	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	PP2A scaffold
20527	PPP2R1A	Protein	20513	M2	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	PP2A scaffold
20527	PPP2R1A	Protein	20513	PDC	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	PP2A scaffold
20527	PPP2R1A	Protein	20513	PLASMA	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	PP2A scaffold
20527	PPP2R1A	Protein	20513	SGEC	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	PP2A scaffold
20527	PPP2R1A	Protein	20513	TFH	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	PP2A scaffold
20527	PPP2R1A	Protein	20513	TH1	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	PP2A scaffold
20527	PPP2R1A	Protein	20513	TH17	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	PP2A scaffold
20527	PPP2R1A	Protein	20513	TREG	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	PP2A scaffold
20528	XIAP	Protein	20513	BCELL	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	X-IAP
20528	XIAP	Protein	20513	M1	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	X-IAP
20528	XIAP	Protein	20513	M2	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	X-IAP
20528	XIAP	Protein	20513	PDC	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	X-IAP
20528	XIAP	Protein	20513	PLASMA	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	X-IAP
20528	XIAP	Protein	20513	SGEC	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	X-IAP
20528	XIAP	Protein	20513	TFH	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	X-IAP
20528	XIAP	Protein	20513	TH1	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	X-IAP
