trap_id	scenario	class	n_disease_on	n_disease_off	n_disease_unk	pheno_Apoptosis_phenotype	pheno_Inflammation_phenotype	pheno_Fibrosis_phenotype	pheno_B_Cell_Activation_Survival_phenotype	pheno_T_Cell_Activation_Differentiation_phenotype	pheno_Chemotaxis_Infiltration_phenotype	pheno_Lymphoid_organ_development_phenotype	pheno_Matrix_degradation_phenotype	pheno_Regulated_Necrosis_phenotype	pheno_Angiogenesis_phenotype	pheno_Cell_Proliferation_Survival_phenotype	pheno_MHC_Class_1_Activation_phenotype	pheno_MHC_Class_2_Activation_phenotype	pheno_Phagocytosis_phenotype	ct_SGEC_on	ct_TH1_on	ct_TH17_on	ct_TFH_on	ct_TREG_on	ct_BCELL_on	ct_PLASMA_on	ct_M1_on	ct_M2_on	ct_PDC_on
healthy_t78	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	241	195	180	169	148
healthy_t79	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	241	195	180	169	148
healthy_t80	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	240	195	180	169	148
healthy_t81	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	240	195	180	169	147
healthy_t82	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	239	195	180	169	148
healthy_t83	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	239	195	180	169	147
healthy_t84	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	240	195	180	169	148
healthy_t85	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	241	195	180	169	148
healthy_t86	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	240	195	180	169	147
healthy_t87	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	241	195	180	169	147
healthy_t88	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	239	195	180	169	147
healthy_t89	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	240	195	180	169	147
healthy_t90	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	239	195	180	169	148
healthy_t91	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	240	195	180	169	148
healthy_t92	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	240	195	180	169	148
healthy_t93	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	241	195	180	169	148
healthy_t94	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	240	195	180	169	147
healthy_t95	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	241	195	180	169	147
healthy_t96	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	241	195	180	169	147
healthy_t97	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	241	195	180	169	147
healthy_t98	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	241	195	180	169	147
healthy_t99	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	241	195	180	169	147
