trap_id	scenario	class	n_disease_on	n_disease_off	n_disease_unk	pheno_Apoptosis_phenotype	pheno_Inflammation_phenotype	pheno_Fibrosis_phenotype	pheno_B_Cell_Activation_Survival_phenotype	pheno_T_Cell_Activation_Differentiation_phenotype	pheno_Chemotaxis_Infiltration_phenotype	pheno_Lymphoid_organ_development_phenotype	pheno_Matrix_degradation_phenotype	pheno_Regulated_Necrosis_phenotype	pheno_Angiogenesis_phenotype	pheno_Cell_Proliferation_Survival_phenotype	pheno_MHC_Class_1_Activation_phenotype	pheno_MHC_Class_2_Activation_phenotype	pheno_Phagocytosis_phenotype	ct_SGEC_on	ct_TH1_on	ct_TH17_on	ct_TFH_on	ct_TREG_on	ct_BCELL_on	ct_PLASMA_on	ct_M1_on	ct_M2_on	ct_PDC_on
disease_full_t64	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	162	126	206	191	144
disease_full_t65	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	162	125	206	191	144
disease_full_t66	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	162	126	206	191	144
disease_full_t67	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	162	125	206	191	144
disease_full_t68	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	162	125	206	191	144
disease_full_t69	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	162	125	206	191	144
disease_full_t70	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	162	124	206	191	144
disease_full_t71	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	162	124	206	191	144
disease_full_t72	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	161	124	206	191	144
disease_full_t73	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	161	124	206	191	144
disease_full_t74	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	161	125	206	191	144
disease_full_t75	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	161	125	206	191	144
disease_full_t76	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	161	126	206	191	144
disease_full_t77	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	161	125	206	191	144
disease_full_t78	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	161	126	206	191	144
disease_full_t79	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	161	125	206	191	144
disease_full_t80	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	164	168	162	169	153	161	126	206	191	144
disease_full_t81	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	164	168	162	169	153	161	125	206	191	144
disease_full_t82	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	164	168	162	169	153	162	126	206	191	144
disease_full_t83	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	164	168	162	169	153	162	125	206	191	144
disease_full_t84	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	162	126	206	191	144
disease_full_t85	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	161	126	206	191	144
disease_full_t86	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	162	125	206	191	144
