Species_ID,Relation1,Identifier1,Constant,InitialLevel,Comments
SOS2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20678 BCELL_s20678
BAFF/BAFFR_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20679 BCELL_s20679
TNFRSF13C_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20681 BCELL_s20681
IFITM1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20684 BCELL_s20684
MX2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20685 BCELL_s20685
TNF/TNFR2_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20686 BCELL_s20686
TNFRSF1B_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20687 BCELL_s20687
PRKC_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20689 BCELL_s20689
SYK_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20690 BCELL_s20690
STAT2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20692 BCELL_s20692
GBP3_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20693 BCELL_s20693
IFI35_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20694 BCELL_s20694
RIPK1/TRAF2/TRAF5_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20696 BCELL_s20696
RIPK1_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20697 BCELL_s20697
TANK_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20698 BCELL_s20698
TRAF5_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20699 BCELL_s20699
IL1R1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20702 BCELL_s20702
sialic_acid/CD22_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20703 BCELL_s20703
CD22_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20704 BCELL_s20704
GBP2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20706 BCELL_s20706
IKBKE/TBK1_complex_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20708 BCELL_s20708
TBK1_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20709 BCELL_s20709
IKBKE_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20710 BCELL_s20710
DAG_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20711 BCELL_s20711
IKBIP_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20713 BCELL_s20713
CHUK/IKBKB/IKBKG_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20714 BCELL_s20714
CHUK_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20715 BCELL_s20715
IKBKB_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20716 BCELL_s20716
IKBKG_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20717 BCELL_s20717
CD40_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20718 BCELL_s20718
PLCB_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20719 BCELL_s20719
"PI(4,5)P2_BCELL Cytoplasm",isDescribedBy,,True,,sa_BCELL_s20721 BCELL_s20721
FAS_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20723 BCELL_s20723
TNFRSF1A_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20725 BCELL_s20725
TAB1/TAB2/TAB3_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20726 BCELL_s20726
TAB2_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20727 BCELL_s20727
TAB3_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20728 BCELL_s20728
TAB1_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20729 BCELL_s20729
ITPR3_BCELL EndoplasmicReticulum,isDescribedBy,,True,,sa_BCELL_s20732 BCELL_s20732
PIP3/IP3R_complex_BCELL EndoplasmicReticulum,isDescribedBy,,False,,sa_BCELL_s20733 BCELL_s20733
"PI(3,4,5)P3_BCELL EndoplasmicReticulum",isDescribedBy,,True,,sa_BCELL_s20734 BCELL_s20734
ITPR3_BCELL EndoplasmicReticulum_1,isDescribedBy,,True,,sa_BCELL_s20735 BCELL_s20735
CD70_space_homotrimer_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20741 BCELL_s20741
LTA/TNFR2_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20742 BCELL_s20742
TNFRSF1B_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20743 BCELL_s20743
CARD11/BCL10/MALT1_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20745 BCELL_s20745
CARD11_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20746 BCELL_s20746
BCL10_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20747 BCELL_s20747
MALT1_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20748 BCELL_s20748
DUSP5_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20750 BCELL_s20750
OASL_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20751 BCELL_s20751
PTPN6_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20752 BCELL_s20752
HLA-DRA_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20757 BCELL_s20757
LILRA3_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20758 BCELL_s20758
MAP2K7_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20763 BCELL_s20763
XIAP_BCELL Cytoplasm_1,isDescribedBy,,False,,sa_BCELL_s20764 BCELL_s20764
GORAB_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20766 BCELL_s20766
GBP5_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20767 BCELL_s20767
CHUK_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20769 BCELL_s20769
IKBKB_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20770 BCELL_s20770
IKBKG_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20771 BCELL_s20771
PTPRC_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20773 BCELL_s20773
JAK3_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20775 BCELL_s20775
NCAM1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20779 BCELL_s20779
EIF2AK2_space_homodimer_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20780 BCELL_s20780
TGF/TGFBR1_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20781 BCELL_s20781
TGFBR1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20783 BCELL_s20783
IRF5_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20784 BCELL_s20784
IL15R_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20786 BCELL_s20786
IL2RG_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20789 BCELL_s20789
RRAS_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20790 BCELL_s20790
Ag/IgG/FCGR1A_complex_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20791 BCELL_s20791
CXCR4_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20795 BCELL_s20795
TARBP2_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20796 BCELL_s20796
TIRAP_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20797 BCELL_s20797
PML_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20798 BCELL_s20798
TRAF6_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20800 BCELL_s20800
RAF_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20804 BCELL_s20804
GNAI_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20805 BCELL_s20805
DAXX_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20808 BCELL_s20808
CASP8_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20809 BCELL_s20809
IL12/IL12R_complex_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20816 BCELL_s20816
PTPN2_BCELL Cytoplasm_1,isDescribedBy,,False,,sa_BCELL_s20822 BCELL_s20822
CD22_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20827 BCELL_s20827
RIPK1_BCELL Cytoplasm_1,isDescribedBy,,False,,sa_BCELL_s20828 BCELL_s20828
