Target,Level,Rule,Relation1,Identifier1
CASP8_BCELL Cytoplasm,1,FADD_BCELL Cytoplasm_1&!CFLAR_BCELL Cytoplasm,isDescribedBy,
PTPN2_BCELL Cytoplasm_1,1,PTPN2_BCELL Cytoplasm&EIF2AK2_space_homodimer_BCELL Cytoplasm,isDescribedBy,
RIPK1_BCELL Cytoplasm_1,1,RIPK1_rna_BCELL Nucleus,isDescribedBy,
FAS_BCELL Cytoplasm_1,1,FAS_rna_BCELL Nucleus,isDescribedBy,
ADAR1_space_homodimer_BCELL Cytoplasm,1,ADAR_BCELL Cytoplasm,isDescribedBy,
ISG20_BCELL Cytoplasm,1,ISG20_rna_BCELL Nucleus,isDescribedBy,
CCR6_BCELL Cytoplasm,1,(CCL20|CCL20),isDescribedBy,
BAD_BCELL Cytoplasm,1,"MAPK8,9,10_BCELL Cytoplasm&!AKT_BCELL Cytoplasm",isDescribedBy,
CCL20/CCR6_complex_BCELL Cytoplasm,1,CCL20&CCR6_BCELL Cytoplasm,isDescribedBy,
IFI6_BCELL Cytoplasm,1,IFI6_rna_BCELL Nucleus,isDescribedBy,
EIF2AK2_space_homodimer_BCELL Cytoplasm_1,1,EIF2AK2_space_homodimer_BCELL Cytoplasm,isDescribedBy,
MAPK3_BCELL Cytoplasm,1,(MAP2K1_BCELL Cytoplasm|MHC1/B2M/LILR_complex_BCELL Cytoplasm)&!DUSP5_BCELL Cytoplasm&!DUSP6_BCELL Cytoplasm,isDescribedBy,
SOCS2_BCELL Cytoplasm,1,SOCS1_rna_BCELL Nucleus,isDescribedBy,
IFITM2_BCELL Cytoplasm,1,IFITM2_rna_BCELL Nucleus,isDescribedBy,
IFIT5_BCELL Cytoplasm,1,IFIT5_rna_BCELL Nucleus,isDescribedBy,
CASP7_BCELL Cytoplasm,1,CASP8_BCELL Cytoplasm&!XIAP_BCELL Cytoplasm&!BIRC2_BCELL Cytoplasm_1,isDescribedBy,
ISG15_BCELL Cytoplasm,1,ISG15_rna_BCELL Nucleus,isDescribedBy,
TLR10L/TLR10_complex_BCELL Cytoplasm,1,TLR10_ligand&TLR10_BCELL Cytoplasm_1,isDescribedBy,
IFNGR1_BCELL Cytoplasm,1,(IFNG_Secreted|IFNG_Secreted),isDescribedBy,
IFNGR2_BCELL Cytoplasm,1,(IFNG_Secreted|IFNG_Secreted),isDescribedBy,
RCAN_BCELL Cytoplasm,1,Calmodulin/Ca2+_complex_BCELL Cytoplasm,isDescribedBy,
MHC1/B2M/LILR_complex_BCELL Cytoplasm,1,MHC1/B2M_complex&LILRA3_BCELL Cytoplasm,isDescribedBy,
RIPK3_BCELL Cytoplasm,1,!TNFAIP3_BCELL Cytoplasm&!RIPK1_BCELL Cytoplasm_3,isDescribedBy,
IFIT2_BCELL Cytoplasm,1,IFIT2_rna_BCELL Nucleus,isDescribedBy,
