Target,Level,Rule,Relation1,Identifier1
SP100_rna_PLASMA Nucleus,1,STAT1_space_homodimer_PLASMA Nucleus,isDescribedBy,
BCL2_rna_PLASMA Nucleus,1,(RELA/NFKB1_complex_PLASMA Nucleus|MTORC1_complex_PLASMA Cytoplasm|STAT3_space_homodimer_PLASMA Nucleus)&!BAD_PLASMA Cytoplasm,isDescribedBy,
ADAR_rna_PLASMA Nucleus,1,STAT1/STAT2/IRF9_complex_PLASMA Nucleus,isDescribedBy,
"NFATC1,2,3_PLASMA Nucleus",1,"RCAN_PLASMA Cytoplasm&!MAPK8,9,10_PLASMA Cytoplasm",isDescribedBy,
STAT1/STAT2/IRF9_complex_PLASMA Nucleus,1,STAT1/STAT2/IRF9_complex_PLASMA Cytoplasm&KPNB1_PLASMA Cytoplasm,isDescribedBy,
ICAM1_rna_PLASMA Nucleus,1,(LPS/CD14/TL4/LY96_complex_PLASMA Cytoplasm|NFKB2/RELB_complex_PLASMA Nucleus|STAT1_space_homodimer_PLASMA Nucleus|RELA/NFKB1_complex_PLASMA Nucleus),isDescribedBy,
STAT1_space_homodimer_PLASMA Nucleus_1,1,STAT1_space_homodimer_PLASMA Nucleus&PTPN2_PLASMA Nucleus,isDescribedBy,
ETS1_rna_PLASMA Nucleus,1,SP100_PLASMA Nucleus,isDescribedBy,
IFITM3_rna_PLASMA Nucleus,1,STAT1/STAT2/IRF9_complex_PLASMA Nucleus,isDescribedBy,
ISG20_rna_PLASMA Nucleus,1,STAT1/STAT2/IRF9_complex_PLASMA Nucleus,isDescribedBy,
FOS_PLASMA Nucleus_1,1,"(MAPK8,9,10_PLASMA Cytoplasm|MAPK3_PLASMA Cytoplasm|MAPK11,12,13,14_PLASMA Cytoplasm)",isDescribedBy,
NFKB1_rna_PLASMA Nucleus,1,RELA/NFKB1_complex_PLASMA Nucleus,isDescribedBy,
HLA-C_rna_PLASMA Nucleus,1,(STAT1/STAT2/IRF9_complex_PLASMA Nucleus|STAT1_space_homodimer_PLASMA Nucleus),isDescribedBy,
NFKB2/RELB_complex_PLASMA Nucleus,1,(CHUK/CHUK_complex_PLASMA Cytoplasm|PRMT5_PLASMA Cytoplasm|NFKB2_rna_PLASMA Nucleus),isDescribedBy,
IRF1_rna_PLASMA Nucleus,1,(STAT1_space_homodimer_PLASMA Nucleus|STAT1/STAT2/IRF9_complex_PLASMA Nucleus),isDescribedBy,
IKBIP_rna_PLASMA Nucleus,1,TP53_PLASMA Nucleus,isDescribedBy,
TRIM21_rna_PLASMA Nucleus,1,(STAT1_space_homodimer_PLASMA Nucleus|TLR3/dsRNA/PolyIC_complex_PLASMA Cytoplasm),isDescribedBy,
LTB-TNFSF14/LTBR_complex_SGEC Cytoplasm,1,(LTBR_SGEC Cytoplasm_1&TNFSF14|LTB&LTBR_SGEC Cytoplasm_1),isDescribedBy,
LTBR_SGEC Cytoplasm,1,(LTA|LTB|LTA|LTB|TNFSF14|TNFSF14),isDescribedBy,
IFNAR1_SGEC Cytoplasm,1,(IFNA_Secreted|IFNB1_Extracellular),isDescribedBy,
IFNAR2_SGEC Cytoplasm,1,(IFNA_Secreted|IFNB1_Extracellular),isDescribedBy,
dsRNA_SGEC Cytoplasm,1,dsRNA/polyIC,isDescribedBy,
XIAP_SGEC Cytoplasm,1,!XAF1_SGEC Cytoplasm,isDescribedBy,
TRIM14_SGEC Cytoplasm,1,TRIM14_rna_SGEC Nucleus,isDescribedBy,
OAS3_SGEC Cytoplasm,1,OAS3_rna_SGEC Nucleus,isDescribedBy,
IFI30_SGEC Cytoplasm,1,IFI30_rna_SGEC Nucleus,isDescribedBy,
HLA-H_SGEC Cytoplasm,1,HLA-H_rna_SGEC Nucleus,isDescribedBy,
HLA-B_SGEC Cytoplasm,1,HLA-B_rna_SGEC Nucleus,isDescribedBy,
EDA/EDAR_complex,1,EDA&EDAR_SGEC Cytoplasm_1,isDescribedBy,
EDAR_SGEC Cytoplasm,1,EDA,isDescribedBy,
GLUT1_SGEC Cytoplasm,1,GLUT1_rna_SGEC Nucleus,isDescribedBy,
BST2_SGEC Cytoplasm,1,BST2_rna_SGEC Nucleus,isDescribedBy,
MARCHF8_SGEC Cytoplasm,1,BST2_SGEC Cytoplasm,isDescribedBy,
XAF1_SGEC Cytoplasm,1,XAF1_rna_SGEC Nucleus,isDescribedBy,
TYK2_SGEC Cytoplasm,1,(IFNA/IFNAR_complex_SGEC Cytoplasm|IFNB/IFNAR_complex_SGEC Cytoplasm|IL12/IL12R_complex_SGEC Cytoplasm)&!SOCS1_SGEC Cytoplasm&!SOCS2_SGEC Cytoplasm&!SOCS3_SGEC Cytoplasm,isDescribedBy,
SOCS1_SGEC Cytoplasm,1,SOCS2_rna_SGEC Nucleus,isDescribedBy,
GBP1_SGEC Cytoplasm,1,GBP1_rna_SGEC Nucleus,isDescribedBy,
IL6R_complex_SGEC Cytoplasm,1,(IL6_Extracellular|IL6_Extracellular|IL6_Extracellular|IL6_Extracellular),isDescribedBy,
IL6ST_SGEC Cytoplasm,1,(IL6_Extracellular|IL6_Extracellular|IL6_Extracellular|IL6_Extracellular),isDescribedBy,
CXCL12/CXCR4_complex_SGEC Cytoplasm,1,CXCL12_Extracellular&CXCR4_SGEC Cytoplasm_1,isDescribedBy,
CXCR4_SGEC Cytoplasm,1,CXCL12_Extracellular,isDescribedBy,
TRIM22_SGEC Cytoplasm,1,TRIM22_rna_SGEC Nucleus,isDescribedBy,
SOCS3_SGEC Cytoplasm,1,SOCS3_rna_SGEC Nucleus,isDescribedBy,
IRF1_SGEC Cytoplasm,1,IRF1_SGEC Cytoplasm_1,isDescribedBy,
IFI27_SGEC Cytoplasm,1,IFI27_rna_SGEC Nucleus,isDescribedBy,
IRF9_SGEC Cytoplasm,1,IRF9_rna_SGEC Nucleus,isDescribedBy,
TLR3/dsRNA/PolyIC_complex_SGEC Cytoplasm,1,dsRNA/polyIC&TLR3_SGEC Cytoplasm,isDescribedBy,
EIF2AK2_SGEC Cytoplasm,1,EIF2AK2_rna_SGEC Nucleus,isDescribedBy,
TRIM25_SGEC Cytoplasm,1,TRIM25_rna_SGEC Nucleus,isDescribedBy,
FADD_SGEC Cytoplasm,1,(TRADD_SGEC Cytoplasm|FASL/FASR_complex_SGEC Cytoplasm|TRAIL/TRAILR_complex_SGEC Cytoplasm|MAVS_SGEC Cytoplasm_1|RIPK1_SGEC Cytoplasm_3)&!RIPK3_SGEC Cytoplasm_1,isDescribedBy,
SMAD2/SMAD3_complex_SGEC Cytoplasm,1,TGF/TGFBR1_complex_SGEC Cytoplasm,isDescribedBy,
IFITM1_SGEC Cytoplasm,1,IFITM1_rna_SGEC Nucleus,isDescribedBy,
MX2_SGEC Cytoplasm,1,MX2_rna_SGEC Nucleus,isDescribedBy,
STAT2_SGEC Cytoplasm,1,TYK2_SGEC Cytoplasm,isDescribedBy,
GBP3_SGEC Cytoplasm,1,GBP3_rna_SGEC Nucleus,isDescribedBy,
IFI35_SGEC Cytoplasm,1,IFI35_rna_SGEC Nucleus,isDescribedBy,
IL1R1_SGEC Cytoplasm,1,(IL1B|IL1B),isDescribedBy,
GBP2_SGEC Cytoplasm,1,GBP2_rna_SGEC Nucleus,isDescribedBy,
CD40_SGEC Cytoplasm,1,CD40_rna_SGEC Nucleus,isDescribedBy,
FASL/FASR_complex_SGEC Cytoplasm,1,FASLG&FAS_SGEC Cytoplasm_1,isDescribedBy,
TNFRSF1A_SGEC Cytoplasm,1,(TNF_Extracellular|TNF_Extracellular),isDescribedBy,
OASL_SGEC Cytoplasm,1,OASL_rna_SGEC Nucleus,isDescribedBy,
HLA-DRA_SGEC Cytoplasm,1,HLA-DRA_rna_SGEC Nucleus,isDescribedBy,
GBP5_SGEC Cytoplasm,1,GBP5_rna_SGEC Nucleus,isDescribedBy,
NCAM1_SGEC Cytoplasm,1,NCAM1_rna_SGEC Nucleus,isDescribedBy,
TGF/TGFBR1_complex_SGEC Cytoplasm,1,TGFB1&TGFBR1_SGEC Cytoplasm_1,isDescribedBy,
TGFBR1_SGEC Cytoplasm,1,(TGFB1|TGFB1|TGFB1),isDescribedBy,
IRF5_SGEC Cytoplasm,1,IRF5_rna_SGEC Nucleus,isDescribedBy,
RRAS_SGEC Cytoplasm,1,SOS2_SGEC Cytoplasm_1,isDescribedBy,
PML_SGEC Cytoplasm,1,PML_rna_SGEC Nucleus,isDescribedBy,
TLR5/flagellin_complex_SGEC Cytoplasm,1,flagellin&TLR5_SGEC Cytoplasm_1,isDescribedBy,
RAF_SGEC Cytoplasm,1,RRAS_SGEC Cytoplasm,isDescribedBy,
CASP8_SGEC Cytoplasm,1,FADD_SGEC Cytoplasm&!CFLAR_SGEC Cytoplasm,isDescribedBy,
PTPN2_SGEC Cytoplasm_1,1,PTPN2_SGEC Cytoplasm&EIF2AK2_space_homodimer_SGEC Cytoplasm,isDescribedBy,
RIPK1_SGEC Cytoplasm_1,1,RIPK1_rna_SGEC Nucleus,isDescribedBy,
FAS_SGEC Cytoplasm_1,1,FAS_rna_SGEC Nucleus,isDescribedBy,
ADAR1_space_homodimer_SGEC Cytoplasm,1,ADAR_SGEC Cytoplasm,isDescribedBy,
ISG20_SGEC Cytoplasm,1,ISG20_rna_SGEC Nucleus,isDescribedBy,
IFI6_SGEC Cytoplasm,1,IFI6_rna_SGEC Nucleus,isDescribedBy,
EIF2AK2_space_homodimer_SGEC Cytoplasm_1,1,EIF2AK2_space_homodimer_SGEC Cytoplasm,isDescribedBy,
SOCS2_SGEC Cytoplasm,1,SOCS1_rna_SGEC Nucleus,isDescribedBy,
IFITM2_SGEC Cytoplasm,1,IFITM2_rna_SGEC Nucleus,isDescribedBy,
IFIT5_SGEC Cytoplasm,1,IFIT5_rna_SGEC Nucleus,isDescribedBy,
ISG15_SGEC Cytoplasm,1,ISG15_rna_SGEC Nucleus,isDescribedBy,
IFNGR1_SGEC Cytoplasm,1,(IFNG_Secreted|IFNG_Secreted),isDescribedBy,
IFNGR2_SGEC Cytoplasm,1,(IFNG_Secreted|IFNG_Secreted),isDescribedBy,
IFIT2_SGEC Cytoplasm,1,IFIT2_rna_SGEC Nucleus,isDescribedBy,
HLA-A_SGEC Cytoplasm,1,HLA-A_rna_SGEC Nucleus,isDescribedBy,
LAMP3_SGEC Cytoplasm,1,LAMP3_rna_SGEC Nucleus,isDescribedBy,
CD40LG/CD40_complex_SGEC Cytoplasm,1,CD40LG&CD40_SGEC Cytoplasm,isDescribedBy,
IFIT1_SGEC Cytoplasm,1,IFIT1_rna_SGEC Nucleus,isDescribedBy,
MX1_SGEC Cytoplasm,1,MX1_rna_SGEC Nucleus,isDescribedBy,
TLR4/LY96_complex_SGEC Cytoplasm,1,TLR4_rna_SGEC Nucleus,isDescribedBy,
TLR4_SGEC Cytoplasm,1,LPS,isDescribedBy,
RIGI_SGEC Cytoplasm,1,(dsRNA_SGEC Cytoplasm|TRIM25_SGEC Cytoplasm)&!ISG15_SGEC Cytoplasm&!UBE2L6_SGEC Cytoplasm,isDescribedBy,
MAP2K1_SGEC Cytoplasm,1,RAF_SGEC Cytoplasm,isDescribedBy,
HLA-C_SGEC Cytoplasm,1,HLA-C_rna_SGEC Nucleus,isDescribedBy,
TRAIL/TRAILR_complex_SGEC Cytoplasm,1,"TNFSF10&TNFRSF10A,B_SGEC Cytoplasm_1",isDescribedBy,
GBP6_SGEC Cytoplasm,1,GBP6_rna_SGEC Nucleus,isDescribedBy,
HLA-DQA2_SGEC Cytoplasm,1,HLA-DQA2_rna_SGEC Nucleus,isDescribedBy,
TRIM5_SGEC Cytoplasm,1,TRIM5_rna_SGEC Nucleus,isDescribedBy,
JAK1_SGEC Cytoplasm,1,(IFNA/IFNAR_complex_SGEC Cytoplasm|IFNG/IFNGR_complex_SGEC Cytoplasm|IL7/IL7R_complex_SGEC Cytoplasm|IL2/IL2R_complex_SGEC Cytoplasm|IFNB/IFNAR_complex_SGEC Cytoplasm|IL21/IL21R_complex_SGEC Cytoplasm|IL15R_complex_SGEC Cytoplasm|IL6/IL6R_complex_SGEC Cytoplasm)&!SOCS1_SGEC Cytoplasm&!PTPN6_SGEC Cytoplasm&!SOCS2_SGEC Cytoplasm&!SOCS3_SGEC Cytoplasm&!CISH_SGEC Cytoplasm,isDescribedBy,
STAT1/STAT2_complex_SGEC Cytoplasm,1,STAT1_SGEC Cytoplasm_3&STAT2_SGEC Cytoplasm,isDescribedBy,
IL6/IL6R_complex_SGEC Cytoplasm,1,IL6_Extracellular&IL6R_complex_SGEC Cytoplasm,isDescribedBy,
MAP3K5_SGEC Cytoplasm,1,DAXX_SGEC Cytoplasm,isDescribedBy,
MDM2_SGEC Cytoplasm,1,MDM2_rna_SGEC Nucleus,isDescribedBy,
JAK2_SGEC Cytoplasm,1,(IFNG/IFNGR_complex_SGEC Cytoplasm|IL12/IL12R_complex_SGEC Cytoplasm|IL6/IL6R_complex_SGEC Cytoplasm)&!SOCS1_SGEC Cytoplasm&!SOCS2_SGEC Cytoplasm&!SOCS3_SGEC Cytoplasm,isDescribedBy,
STAT1/STAT2/IRF9_complex_SGEC Cytoplasm,1,IRF9_SGEC Cytoplasm&STAT1/STAT2_complex_SGEC Cytoplasm,isDescribedBy,
SRC_SGEC Cytoplasm,1,GNAI_SGEC Cytoplasm_1,isDescribedBy,
RSAD2_SGEC Cytoplasm,1,RSAD2_rna_SGEC Nucleus,isDescribedBy,
IFIT3_SGEC Cytoplasm,1,IFIT3_rna_SGEC Nucleus,isDescribedBy,
HLA-DQA1_SGEC Cytoplasm,1,HLA-DQA1_rna_SGEC Nucleus,isDescribedBy,
DAXX_SGEC Cytoplasm,1,(FASL/FASR_complex_SGEC Cytoplasm|TGF/TGFBR1_complex_SGEC Cytoplasm),isDescribedBy,
FCGR1BP_SGEC Cytoplasm,1,FCGR1BP_rna_SGEC Nucleus,isDescribedBy,
STAT1_SGEC Cytoplasm_2,1,HDAC3_SGEC Cytoplasm,isDescribedBy,
"TNFRSF10A,B_SGEC Cytoplasm_1",1,TNFRSF10A_rna_SGEC Nucleus,isDescribedBy,
OAS1_SGEC Cytoplasm,1,OAS1_rna_SGEC Nucleus,isDescribedBy,
IP6K2_SGEC Cytoplasm,1,IP6K2_rna_SGEC Nucleus,isDescribedBy,
IFITM3_SGEC Cytoplasm,1,IFITM3_rna_SGEC Nucleus,isDescribedBy,
ISG15_SGEC Cytoplasm_1,1,(UBE2L6_SGEC Cytoplasm|HERC5_SGEC Cytoplasm)&ISG15_SGEC Cytoplasm&!UBA7_SGEC Cytoplasm,isDescribedBy,
STAT1_SGEC Cytoplasm_3,1,(JAK1_SGEC Cytoplasm|TYK2_SGEC Cytoplasm)&STAT1_SGEC Cytoplasm_2,isDescribedBy,
IFNA/IFNAR_complex_SGEC Cytoplasm,1,IFNA_Extracellular&IFNAR_complex_SGEC Cytoplasm,isDescribedBy,
TRIM34_SGEC Cytoplasm,1,TRIM34_rna_SGEC Nucleus,isDescribedBy,
IRF1_SGEC Cytoplasm_1,1,IRF1_rna_SGEC Nucleus,isDescribedBy,
IL1R_complex_SGEC Cytoplasm,1,IL1&IL1R1_SGEC Cytoplasm,isDescribedBy,
HLA-G_SGEC Cytoplasm,1,HLA-G_rna_SGEC Nucleus,isDescribedBy,
OAS2_SGEC Cytoplasm,1,OAS2_rna_SGEC Nucleus,isDescribedBy,
TRIM6_SGEC Cytoplasm,1,TRIM6_rna_SGEC Nucleus,isDescribedBy,
STAT3_SGEC Cytoplasm,1,JAK2_SGEC Cytoplasm,isDescribedBy,
TNF/TNFR1_complex_SGEC Cytoplasm,1,TNF_Extracellular&TNFRSF1A_SGEC Cytoplasm,isDescribedBy,
MT2A_SGEC Cytoplasm,1,MT2A_rna_SGEC Nucleus,isDescribedBy,
ADAR_SGEC Cytoplasm,1,ADAR_rna_SGEC Nucleus,isDescribedBy,
IFIH1_SGEC Cytoplasm,1,(dsRNA_SGEC Cytoplasm|TRIM25_SGEC Cytoplasm)&!NLRC5_SGEC Cytoplasm&!UBE2L6_SGEC Cytoplasm,isDescribedBy,
SHISA5_SGEC Cytoplasm,1,SHISA5_rna_SGEC Nucleus,isDescribedBy,
HLA-DRB4_SGEC Cytoplasm,1,HLA-DRB4_rna_SGEC Nucleus,isDescribedBy,
GBP4_SGEC Cytoplasm,1,GBP4_rna_SGEC Nucleus,isDescribedBy,
IFNG/IFNGR_complex_SGEC Cytoplasm,1,IFNG_Extracellular&IFNGR_complex_SGEC Cytoplasm,isDescribedBy,
"CD80,86_SGEC Cytoplasm",1,"CD80,86_rna_SGEC Nucleus",isDescribedBy,
MAX_SGEC Cytoplasm,1,"MAPK11,12,13,14_SGEC Cytoplasm",isDescribedBy,
IFNB/IFNAR_complex_SGEC Cytoplasm,1,IFNB1_Extracellular&IFNAR_complex_SGEC Cytoplasm,isDescribedBy,
CHUK/CHUK_complex_SGEC Cytoplasm,1,MAP3K14_SGEC Cytoplasm_1,isDescribedBy,
GBP5_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
STAT1_space_homodimer_SGEC Nucleus,1,STAT1_SGEC Cytoplasm_3,isDescribedBy,
ISG15_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
IRF5_rna_SGEC Nucleus,1,(STAT1_space_homodimer_SGEC Nucleus|STAT1/STAT2/IRF9_complex_SGEC Nucleus),isDescribedBy,
GBP4_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
CXCL10_rna_SGEC Nucleus,1,(STAT1/STAT2/IRF9_complex_SGEC Nucleus|STAT1_space_homodimer_SGEC Nucleus),isDescribedBy,
IFI6_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
CXCL11_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
SP100_SGEC Nucleus,1,SP100_rna_SGEC Nucleus,isDescribedBy,
GBP2_rna_SGEC Nucleus,1,(STAT1/STAT2/IRF9_complex_SGEC Nucleus|STAT1_space_homodimer_SGEC Nucleus),isDescribedBy,
TNFRSF10A_rna_SGEC Nucleus,1,(TP53_SGEC Nucleus|TNFSF10|TNFSF10|TNFSF10),isDescribedBy,
SOCS3_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
TRIM34_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
IFIT5_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
TRIM25_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
IFI35_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
PML_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
MT2A_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
GBP1_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
RIPK1_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
IFI30_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
IFI27_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
HLA-DQA2_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
PTPN2_SGEC Nucleus,1,PTPN2_SGEC Cytoplasm,isDescribedBy,
IRF9_rna_SGEC Nucleus,1,(STAT1_space_homodimer_SGEC Nucleus|STAT1/STAT2/IRF9_complex_SGEC Nucleus),isDescribedBy,
CXCL9_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
CDKN1A_rna_SGEC Nucleus,1,TP53_SGEC Nucleus,isDescribedBy,
NCAM1_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
TRIM22_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
RRM2_rna_SGEC Nucleus,1,TP53_SGEC Nucleus,isDescribedBy,
TRIM14_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
HLA-DRA_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
"CD80,86_rna_SGEC Nucleus",1,IRF3_SGEC Nucleus,isDescribedBy,
SMAD2/SMAD3/SMAD4_complex_SGEC Nucleus,1,SMAD2/SMAD3_complex_SGEC Cytoplasm&SMAD4_SGEC Cytoplasm,isDescribedBy,
TRIM6_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
TRIM5_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
GBP3_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
MX2_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
GBP6_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
SESN1_rna_SGEC Nucleus,1,TP53_SGEC Nucleus,isDescribedBy,
SNAI1,1,SNAI1_rna,isDescribedBy,
CD82_rna_SGEC Nucleus,1,TP53_SGEC Nucleus,isDescribedBy,
HLA-A_rna_SGEC Nucleus,1,(STAT1/STAT2/IRF9_complex_SGEC Nucleus|STAT1_space_homodimer_SGEC Nucleus),isDescribedBy,
FAS_rna_SGEC Nucleus,1,TP53_SGEC Nucleus,isDescribedBy,
OASL_rna_SGEC Nucleus,1,(STAT1/STAT2/IRF9_complex_SGEC Nucleus|STAT1_space_homodimer_SGEC Nucleus),isDescribedBy,
IFIT3_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
HLA-B_rna_SGEC Nucleus,1,(STAT1/STAT2/IRF9_complex_SGEC Nucleus|STAT1_space_homodimer_SGEC Nucleus),isDescribedBy,
HLA-H_rna_SGEC Nucleus,1,(STAT1/STAT2/IRF9_complex_SGEC Nucleus|STAT1_space_homodimer_SGEC Nucleus),isDescribedBy,
BST2_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
MX1_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
OAS1_rna_SGEC Nucleus,1,(STAT1/STAT2/IRF9_complex_SGEC Nucleus|STAT1_space_homodimer_SGEC Nucleus),isDescribedBy,
RSAD2_rna_SGEC Nucleus,1,(STAT1/STAT2/IRF9_complex_SGEC Nucleus|CD40LG/CD40_complex_SGEC Cytoplasm|TLR3/dsRNA/PolyIC_complex_SGEC Cytoplasm|TLR7/ssRNA_complex_SGEC Cytoplasm|PRMT5_SGEC Cytoplasm),isDescribedBy,
OAS3_rna_SGEC Nucleus,1,(STAT1/STAT2/IRF9_complex_SGEC Nucleus|STAT1_space_homodimer_SGEC Nucleus),isDescribedBy,
HLA-G_rna_SGEC Nucleus,1,(STAT1/STAT2/IRF9_complex_SGEC Nucleus|STAT1_space_homodimer_SGEC Nucleus),isDescribedBy,
MDM2_rna_SGEC Nucleus,1,TP53_SGEC Nucleus,isDescribedBy,
IP6K2_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
IFITM1_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
IFIT2_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
OAS2_rna_SGEC Nucleus,1,(STAT1/STAT2/IRF9_complex_SGEC Nucleus|STAT1_space_homodimer_SGEC Nucleus),isDescribedBy,
IFITM2_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
SHISA5_rna_SGEC Nucleus,1,TP53_SGEC Nucleus,isDescribedBy,
XAF1_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
HLA-DQA1_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
EIF2AK2_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
IFIT1_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
FCGR1BP_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
LAMP3_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
HLA-DRB4_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
SP100_rna_SGEC Nucleus,1,STAT1_space_homodimer_SGEC Nucleus,isDescribedBy,
ADAR_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
STAT1/STAT2/IRF9_complex_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Cytoplasm&KPNB1_SGEC Cytoplasm,isDescribedBy,
VIM_rna,1,SNAI1,isDescribedBy,
STAT1_space_homodimer_SGEC Nucleus_1,1,STAT1_space_homodimer_SGEC Nucleus&PTPN2_SGEC Nucleus,isDescribedBy,
SNAI1_rna,1,SMAD2/SMAD3/SMAD4_complex_SGEC Nucleus,isDescribedBy,
IFITM3_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
ISG20_rna_SGEC Nucleus,1,STAT1/STAT2/IRF9_complex_SGEC Nucleus,isDescribedBy,
HLA-C_rna_SGEC Nucleus,1,(STAT1/STAT2/IRF9_complex_SGEC Nucleus|STAT1_space_homodimer_SGEC Nucleus),isDescribedBy,
IRF1_rna_SGEC Nucleus,1,(STAT1_space_homodimer_SGEC Nucleus|STAT1/STAT2/IRF9_complex_SGEC Nucleus),isDescribedBy,
IKBIP_rna_SGEC Nucleus,1,TP53_SGEC Nucleus,isDescribedBy,
TRIM21_rna_SGEC Nucleus,1,(STAT1_space_homodimer_SGEC Nucleus|TLR3/dsRNA/PolyIC_complex_SGEC Cytoplasm),isDescribedBy,
CXCR5_TFH Cytoplasm,1,CXCL13,isDescribedBy,
dsRNA_TFH Cytoplasm,1,dsRNA/polyIC,isDescribedBy,
XIAP_TFH Cytoplasm,1,!XAF1_TFH Cytoplasm,isDescribedBy,
TRIM14_TFH Cytoplasm,1,TRIM14_rna_TFH Nucleus,isDescribedBy,
OAS3_TFH Cytoplasm,1,OAS3_rna_TFH Nucleus,isDescribedBy,
IFI30_TFH Cytoplasm,1,IFI30_rna_TFH Nucleus,isDescribedBy,
HLA-H_TFH Cytoplasm,1,HLA-H_rna_TFH Nucleus,isDescribedBy,
HLA-B_TFH Cytoplasm,1,HLA-B_rna_TFH Nucleus,isDescribedBy,
STAT5A/B_TFH Cytoplasm,1,JAK3_TFH Cytoplasm,isDescribedBy,
GLUT1_TFH Cytoplasm,1,GLUT1_rna_TFH Nucleus,isDescribedBy,
BST2_TFH Cytoplasm,1,BST2_rna_TFH Nucleus,isDescribedBy,
XAF1_TFH Cytoplasm,1,XAF1_rna_TFH Nucleus,isDescribedBy,
